Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,InvestmentType,Amount in USD,Year
1648,2015-01-01,fabhotels,consumer internet,online hotel aggregator & booking platform,gurugram,"accel partners, rb investments",private equity,8000000.0,2015
1649,2015-01-01,locanix,technology,gps based saas solutions,ahmedabad,undisclosed investors,seed funding,300000.0,2015
1650,2015-01-01,lendingkart,consumer internet,online working capital business loans platform,ahmedabad,"bertelsmann india investments, mayfield india, saama capital, india quotient",private equity,32000000.0,2015
1651,2015-01-01,hello tax,consumer internet,online tax filing platform,new delhi,sanjeev sinha,seed funding,295000.0,2015
1652,2015-01-01,mysuperbrain,consumer internet,online talent discovery platform for kids,hyderabad,soniks consulting,seed funding,1725000.0,2015
1653,2015-01-01,blogbeats,consumer internet,online blogging platform,bengaluru,undisclosed investor,seed funding,1725000.0,2015
1654,2015-01-01,letreach,ecommerce,ecommerce saas solutions,new delhi,vcommission,private equity,100000.0,2015
1655,2015-01-01,trendieapp,technology,visual content marketing,kolkata,harsh vardhan hada,seed funding,50000.0,2015
1656,2015-01-01,impactguru,consumer internet,crowdfunding platform,mumbai,piyush jain,seed funding,1725000.0,2015
1657,2015-01-01,velvetcase,ecommerce,online designer jewellery marketplace,mumbai,"uniqorn ventures fund, tv mohandas pai, s somasegar",private equity,1500000.0,2015
1658,2015-01-01,meru cabs,consumer internet,online/ mobile tax cab booking,mumbai,brand capital,private equity,25000000.0,2015
1659,2015-01-01,campus diaries,consumer internet,student focussed content discovery portal,bengaluru,aarin capital,seed funding,220000.0,2015
1660,2015-01-01,scripbox,consumer internet,online mutual fund investment platform,bengaluru,"omidyar network, accel partners & existing investors",private equity,1725000.0,2015
1661,2015-01-01,biryani blues,food & beverage,qsr chain,gurugram,carpediem capital & others,private equity,368000.0,2015
1662,2016-01-05,motomojo,consumer internet,mobile based vehicle maintenance app,mumbai,"niloufer dundh, fauzan rahim, balamurugan mani,",seed funding,1725000.0,2016
1663,2016-01-05,get my parking,technology,parking technology platform,new delhi,the chennai angels,seed funding,376000.0,2016
1664,2016-01-05,prescribez,consumer internet,health service aggregator platform,pune,ankush mehta,seed funding,145000.0,2016
1665,2016-02-05,airwood,technology,agri data & analytics platform,chennai,startupxseed ventures,seed funding,1725000.0,2016
1666,2016-03-05,mobikwik,consumer internet,mobile & digital wallet,gurugram,"gmo payment gateway, mediatek",private equity,50000000.0,2016
1667,2016-03-05,idreamcareer,consumer internet,career planning services portal,new delhi,brand capital,private equity,1725000.0,2016
1668,2016-03-05,zwayam,consumer internet,online recruitment platform,bengaluru,undisclosed investors,seed funding,250000.0,2016
1669,2016-03-05,boibanit,consumer internet,online food delivery platform,vadodara,undisclosed investors,seed funding,1725000.0,2016
1670,2016-03-05,zuver,consumer internet,car driver discovery app,mumbai,"shruth & smith group, hermes group",seed funding,180000.0,2016
1671,2016-03-05,prepathon,education,competitive exam learning platform,mumbai,blume ventures,private equity,1725000.0,2016
1672,2016-04-05,easyroads,consumer internet,road trip planning mobile app,mumbai,"rohan angrish, hrishi oberoi, rahul mehta, kapil hetamsaria, pranav dedhia",seed funding,200000.0,2016
1673,2016-04-05,lenskart,ecommerce,eyewear & accessories etailer,new delhi,"international finance corp, tpg growth, adveq management, idg ventures, ratan tata, kris gopalakrishnan",private equity,60000000.0,2016
1674,2016-04-05,seclore,technology,enterprise security technology platform,mumbai,"sistema asia fund, helion venture, ventureeast, india alternatives",private equity,12000000.0,2016
1675,2016-04-05,solartown,technology,solar rooftop system installation company,chennai,grex.in,seed funding,200000.0,2016
1676,2016-04-05,comarete,technology,telecom & media it services company,pune,grex.in,seed funding,200000.0,2016
1677,2016-04-05,mydentistchoice,ecommerce,medical supplies etailer,hyderabad,undisclosed investors,seed funding,150000.0,2016
1678,2016-04-05,active.ai,technology,intelligent tech platform for finance vertical,singapore,kalaari capital accelerator program,seed funding,500000.0,2016
1679,2016-04-05,affordplan,technology,affordable non-emergency medical service health plans,new delhi,kalaari capital accelerator program,seed funding,500000.0,2016
1680,2016-04-05,indee,consumer internet,web video streaming platform,bengaluru,kalaari capital accelerator program,seed funding,500000.0,2016
1681,2016-05-05,unbxd,technology,ecommerce product discovery software,new delhi,"idg ventures, inventus capital, indian angel network",private equity,1725000.0,2016
1682,2016-05-05,weballigator,consumer internet,cloud based software solutions,bengaluru,group of undisclosed angel investors & hnis,seed funding,375000.0,2016
1683,2016-06-05,eduace services,education,education workshops & mentoring programs,lucknow,momagic technologies,private equity,1000000.0,2016
1684,2016-06-05,meesho,ecommerce,social commerce platform,bengaluru,rajul garg & others,seed funding,1725000.0,2016
1685,2016-07-05,zebroads,logistics,logistics and warehousing services,hyderabad,undisclosed investors,seed funding,75000.0,2016
1686,2016-09-05,locus,technology,logistics intelligence platform,bengaluru,"exfinity venture partners, blume ventures, beenext, rajesh ranavat",private equity,2750000.0,2016
1687,2016-09-05,toko innovations,consumer internet,children\\xe2\\x80\\x99s entertainment portal,bengaluru,"roopak saluja, vishal khare",seed funding,450000.0,2016
1688,2016-09-05,rentickle,ecommerce,"furniture, appliances portal",new delhi,"manish kheterpal, vinay mittal, dinesh mittal, sandeep gupta",seed funding,250000.0,2016
1689,2016-10-05,healthifyme,consumer internet,health & fitness app,bengaluru,"idg ventures india, inventus capital, blume ventures",private equity,6000000.0,2016
1690,2016-10-05,zarget,consumer internet,conversion rate optimization platform,chennai,"accel partners, matrix partners, girish mathrubootham",private equity,1500000.0,2016
1691,2016-10-05,innonano research,technology,clean water technology,chennai,nanoholdings,private equity,18000000.0,2016
1692,2016-10-05,schoolwear,ecommerce,school uniform & supplies marketplace,mumbai,undisclosed investors,seed funding,1500000.0,2016
1693,2016-10-05,swiggy,consumer internet,food delivery platform,bengaluru,"norwest venture partners, dst global, accel partners",private equity,7000000.0,2016
1694,2016-11-05,zenify,consumer internet,home rental discovery & booking portal,bengaluru,undisclosed investors,private equity,900000.0,2016
1695,2016-11-05,faircent,consumer internet,online peer to peer lending platform,gurugram,"jm financial products ltd, arun tadanki, doreswamy nandkishore, kshitij jain",private equity,1725000.0,2016
1696,2016-11-05,fractal analytics,technology,data analytics company,mumbai,khazanah nasional berhad,private equity,100000000.0,2016
1697,2016-12-05,unacademy,consumer internet,free online education platform,bengaluru,"blume ventures, rajan anandan, sumit jain, aprameya radhakrishna, sujeet kumar, phanindra sama",seed funding,500000.0,2016
1698,2016-12-05,capital float,consumer internet,online lending platform,bengaluru,"creation investments capital management, saif partners, sequoia capital, aspada ventures",private equity,25000000.0,2016
1699,2016-12-05,life circle,healthcare,senior healthcare services,hyderabad,groupe sos,private equity,150000.0,2016
1700,2016-12-05,dream wallets,consumer internet,online crowdfunding platform,jaipur,"rakesh gupta, aditya aggarwal, siddharth banerjee, vikas ranjan, anshul jindal, sunil koul, and sanjeev agrawal",seed funding,1725000.0,2016
1701,2016-12-05,shabdnagari,consumer internet,hindi social networking portal,kanpur,ah! ventures,seed funding,1725000.0,2016
1702,2016-12-05,galleri5,consumer internet,visual content discovery platform,bengaluru,"phanindra sama, raghunandan g,",seed funding,1725000.0,2016
1703,2016-12-05,derbii,logistics,carpooling services,gurugram,anurag chauhan,seed funding,1725000.0,2016
1704,2015-01-01,stayzilla,consumer internet,budget room aggregator booking platform,chennai,"matrix partners, nexus ventures",private equity,13500000.0,2015
1705,2015-01-01,wow express,logistics,e-commerce logistics solutions,mumbai,undisclosed investors & tamarind family private trust,private equity,2200000.0,2015
1706,2015-01-01,smartivity,ecommerce,smart learning products,new delhi,"s chand, advantedge partners",private equity,1000000.0,2015
1707,2015-01-01,bedbathmore,consumer internet,home decor emarketplace,mumbai,"kinnevik group, rocket internet",private equity,1725000.0,2015
1708,2015-01-01,murgency,consumer internet,medical emergency response app,mumbai,rata tata,private equity,1725000.0,2015
1709,2015-01-01,crownit,consumer internet,mobile customer rewards management platform,gurugram,"undisclosed investors, accel partners, helion venture partners",private equity,1725000.0,2015
1710,2015-01-01,blinge,ecommerce,apparel rental platform,mumbai,"anupam mittal, anuj srivastava, ankit nagori",seed funding,1725000.0,2015
1711,2015-01-01,thesmartq,consumer internet,food ordering mobile app,bengaluru,yournest angel fund,seed funding,250000.0,2015
1712,2015-01-01,purplehealth,consumer internet,online health-on-demand platform,trivandrum,katabole technology venture,seed funding,100000.0,2015
1713,2015-01-01,fundamentor,education,aptitude development program,pune,subramanya sv,seed funding,1725000.0,2015
1714,2015-01-01,edupristine,education,online certification courses,mumbai,"kaizen management advisors, devry inc",private equity,10000000.0,2015
1715,2015-01-01,bhiveworkspace,reality,co-working spaces,bengaluru,blume ventures,private equity,1000000.0,2015
1716,2015-01-01,parentlane,consumer internet,parenting & child care app,bengaluru,"sujeet kumar, aprameya, sumit jain, subramanya venkat, venk, ravi machani, hitesh gupta, rohit choudhary",seed funding,1725000.0,2015
1717,2015-01-01,appie,consumer internet,location-based offline retail discovery platform,mumbai,undisclosed investors,seed funding,1000000.0,2015
1718,2015-01-01,niki.ai,technology,artificial intelligence platform,bengaluru,ratan tata,private equity,1725000.0,2015
1719,2015-01-01,taxivaxi,consumer internet,cab aggregating platform,new delhi,undisclosed hnis,seed funding,500000.0,2015
1720,2015-01-01,veqta,consumer internet,on demand digital sports network,new delhi,"chatsworth management, itw digital",seed funding,500000.0,2015
1721,2015-01-01,i2ifunding,consumer internet,online peer to peer funding,new delhi,undisclosed investors,seed funding,300000.0,2015
1722,2015-01-01,edurev,consumer internet,online learning platform,gurugram,pradeep reddy kamasan,seed funding,1725000.0,2015
1723,2015-01-01,hoppingo,consumer internet,fashion discovery platform,new delhi,vcommission,seed funding,89000.0,2015
1724,2015-01-01,eatonomist,consumer internet,food delivery platform,gurugram,mcube capital advisors pvt ltd,seed funding,1725000.0,2015
1725,2015-01-01,goalwise,consumer internet,online investment platform,bengaluru,undisclosed hnis,seed funding,1000000.0,2015
